id,name,category,stars,review_count,checkins
cE27W9VPgO88Qxe4ol6y_g,Cool Springs Golf Center,Shopping&Ent,2 stars,165,235
mVHrayjG3uZ_RLHkLj-AMg,Emils Lounge,Shopping&Ent,3 stars,115,680
KayYbHCt-RkbGcPdGOThNg,Alexions Bar & Grill,Shopping&Ent,2 stars,53,383
b12U9TFESStdy7CsTtcOeg,Flynns Tire And Auto Service,Services,1 stars,97,156
QoDa50dc7g62xciFygXB9w,Greentree Animal Clinic,Services,4 stars,368,637
1_lU0-eSWJCRvNGk78Zh9Q,Carnegie Free Library,Services,3 stars,327,352
_qopVQ6_Mz6W7-Pmbi56GQ,Advance Auto Parts,Services,2 stars,181,237
wJr6kSA5dchdgOdwH6dZ2w,Kings Family Restaurant,Food,4 stars,383,748
yXuao0pFz1AxB21vJjDf5w,Shop N Save,Food,4 stars,168,440
fNGIbpazjTRdXgwRY_NIXA,Rockys Lounge,Shopping&Ent,1 stars,28,127
b9WZJp5L1RZr4F1nxclOoQ,Gab & Eat,Food,4 stars,116,194
zaXDakTd3RXyOa7sMrUE1g,Barbs Country Junction Cafe,Food,4 stars,353,396
zgy27FSnvwdINfk5cXBIyQ,Extended Stay America - Pittsburgh - Carnegie,Food,4 stars,291,674
WETE_LykpcnrC1sFcQ5EGg,Paddys Pour House,Shopping&Ent,5 stars,547,713
SQ0j7bgSTazkVQlF5AnqyQ,Don Don Chinese Restaurant,Food,4 stars,295,454
wqu7ILomIOPSduRwoWp4AQ,Dennys,Food,4 stars,163,183
P1fJb2WQ1mXoiudj8UE44w,Papa Js,Misc,2 stars,93,336
8QlnAcjGE6dgfKTVoxrPvQ,Boston Market,Food,4 stars,33,583
t_gan0EXAw8csKIeFyazJw,Homestead Capri Pizza,Food,4 stars,58,150
3gmBc0qN_LtGbZAjTtHWZg,Starbucks,Food,4 stars,361,634
yHTLTr-QN-loO_7XoxS8qg,Michaels,Shopping&Ent,4 stars,317,623
iQLLIdmJSt6LQHSjpZERLA,Yankee Candle Co.,Shopping&Ent,3 stars,368,497
6ilJq_05xRgek_8qUp36-g,Steak n Shake,Food,4 stars,37,71
MKyk4F4HSzHF8v-4cYe3Ww,Sing Sing,Shopping&Ent,4 stars,277,793
gClSqcwuLsgyZRCzhJc7Dg,Lowes Home Improvement,Shopping&Ent,1 stars,35,66
1qCuOcks5HRv67OHovAVpg,Dukes Upper Deck Cafe,Shopping&Ent,5 stars,470,805
sbW8qHJgzEIH42B0S-3New,Dave & Busters,Shopping&Ent,1 stars,73,175
W7ysp8GLCBrs0GXIVwAcBQ,Wendys,Food,4 stars,26,82
McikHxxEqZ2X0joaRNKlaw,Rock Bottom,Food,4 stars,42,299
tv8cS4aaA1VDaInYgggb6g,Improv Comedy Club,Shopping&Ent,5 stars,550,660
