yelping_since,votes.funny,votes.useful,votes.cool,review_count,user_id,fans,average_stars,usefulness,fun,Popularity
2004-10,167,280,245,108,18kPq7GPye-YQ3LyKyAZPw,high,4,1,3,Medium
2004-10,7681,14199,11093,1274,rpOyqD_893cqmDAtJLbdog,high,3,1,5,Medium
2004-10,908,1483,732,442,4U9kSBLuBDU391x6bxU-YA,high,3,5,3,High
2004-10,1,11,5,11,fHtTaujcyKvXglE33Z5yIw,high,4,5,1,Medium
2004-10,11,34,13,66,SIBCL7HBkrP4llolm4SC2A,high,3,1,1,Low
2004-10,13010,17705,16794,1611,8J4IIYcqBlFch8T90N923A,high,4,5,5,High
2004-10,35,39,25,55,ysYmC-ufbdmVEX9yAv-VEQ,high,4,1,1,Low
2004-10,32,131,34,60,WPOKvkacSKHx_bIG1alFiA,high,3,1,1,Low
2004-10,53,243,49,101,UTS9XcT14H2ZscRIf0MYHQ,high,3,1,1,Low
2004-10,6,30,15,20,qL7Astun3i7qwr2IL5iowA,high,4,1,1,Low
2004-10,1109,2404,1928,983,ZWOj6LmzwGvMDh-A85EOtA,high,4,1,3,Medium
2004-10,44,48,19,45,HDQixQ-WZEV0LVPJlIGQeQ,high,3,5,1,Medium
2008-11,60,255,77,362,za5Q2uYrTmky9w_3h9k_wQ,high,4,1,1,Low
2008-11,0,28,1,6,HI-QmpsYxP5AJtRPanXKQw,high,3,1,1,Low
2008-11,1,12,6,10,HZJ9qzZlXC8xeC8v7VT8WA,high,4,5,1,Medium
2008-11,0,5,1,7,y6tOSRh3Xng3XKjVFoE2qw,high,4,1,1,Low
2008-11,8,44,12,24,AzoZZ1hRToPsnUPXeRXelg,high,3,1,1,Low
2008-11,112,231,165,72,4mk28YCp7kCKI6WUp3Gl7w,high,3,1,3,Medium
2008-11,17,52,16,36,3ctGjRh7NaXZ-Gr34A5b6A,high,3,1,1,Low
2009-04,7,30,2,23,rYI9SVnGuPcWyhr1RiZgaw,high,3,5,1,Medium
2009-08,2,14,2,23,bWNn5RzthU9-yo5VYQB20g,high,4,5,1,Medium
2009-08,2,0,0,5,xu_KA5FxXfb5-vx0uz_BNg,high,3,5,1,Medium
2010-04,1,0,0,1,hgdn3uV2O8XjPKmY8cSHmA,high,3,5,1,Medium
2010-07,1,13,7,13,E_DJ1nTDPt9Qk2abWFTefQ,high,4,1,1,Low
2010-07,0,10,2,9,Z28E8hEXDoLZUuPcZvnzcg,high,3,1,1,Low
2010-10,8,36,13,31,qoPY_OSIVLiA90-V7sdwNw,high,3,5,1,Medium
